"FFQ0112.Code.or.Value","FFQ0112.Value.Description","FFQ0112.Count","FFQ0112.Cumulative","FFQ0112.Skip.to.Item"
1,"never",394,394,"FFQ0113"
2,"1-6 times per year",662,1056,""
3,"7-11 times per year",725,1781,""
4,"1 time per month",736,2517,""
5,"2-3 times per month",1403,3920,""
6,"1 time per week",701,4621,""
7,"2 times per week",611,5232,""
8,"3-4 times per week",382,5614,""
9,"5-6 times per week",152,5766,""
10,"1 time per day",122,5888,""
11,"2 or more times per day",47,5935,""
88,"Blank",67,6002,""
99,"Error",11,6013,""
