"FFQ0122.Code.or.Value","FFQ0122.Value.Description","FFQ0122.Count","FFQ0122.Cumulative","FFQ0122.Skip.to.Item"
1,"never",582,582,"FFQ0123"
2,"1-6 times per year",310,892,""
3,"7-11 times per year",384,1276,""
4,"1 time per month",458,1734,""
5,"2-3 times per month",1122,2856,""
6,"1 time per week",937,3793,""
7,"2 times per week",975,4768,""
8,"3-4 times per week",732,5500,""
9,"5-6 times per week",214,5714,""
10,"1 time per day",188,5902,""
11,"2 or more times per day",21,5923,""
88,"Blank",73,5996,""
99,"Error",17,6013,""
