"FFQ0128.Code.or.Value","FFQ0128.Value.Description","FFQ0128.Count","FFQ0128.Cumulative","FFQ0128.Skip.to.Item"
1,"never",4367,4367,"FFQ0129"
2,"Less than 1 time per month",371,4738,""
3,"1-3 times per month",254,4992,""
4,"1 time per week",104,5096,""
5,"2-4 times per week",183,5279,""
6,"5-6 times per week",93,5372,""
7,"1 time per day",224,5596,""
8,"2-3 times per day",191,5787,""
9,"4-5 times per day",40,5827,""
10,"6 or more times per day",24,5851,""
88,"Blank",153,6004,""
99,"Error",9,6013,""
