"FFQ0130.Code.or.Value","FFQ0130.Value.Description","FFQ0130.Count","FFQ0130.Cumulative","FFQ0130.Skip.to.Item"
1,"never",4008,4008,"FFQ0131"
2,"Less than 1 time per month",504,4512,""
3,"1-3 times per month",372,4884,""
4,"1 time per week",159,5043,""
5,"2-4 times per week",211,5254,""
6,"5-6 times per week",85,5339,""
7,"1 time per day",251,5590,""
8,"2-3 times per day",187,5777,""
9,"4-5 times per day",42,5819,""
10,"6 or more times per day",22,5841,""
88,"Blank",164,6005,""
99,"Error",8,6013,""
