"FFQ0135.Code.or.Value","FFQ0135.Value.Description","FFQ0135.Count","FFQ0135.Cumulative","FFQ0135.Skip.to.Item"
1,"never",1606,1606,"FFQ0136"
2,"1-6 times per year",711,2317,""
3,"7-11 times per year",449,2766,""
4,"1 time per month",409,3175,""
5,"2-3 times per month",775,3950,""
6,"1 time per week",457,4407,""
7,"2 times per week",493,4900,""
8,"3-4 times per week",471,5371,""
9,"5-6 times per week",187,5558,""
10,"1 time per day",138,5696,""
11,"2 or more times per day",59,5755,""
88,"Blank",246,6001,""
99,"Error",12,6013,""
